"StarterGhosts"	"RandomGhosts"	"AggressiveGhosts"	"Legacy"	"Legacy2TheReckoning"
"317"	4500	8530	5990	14950	5560
"318"	2220	11300	25760	13760	1550
"319"	5370	16910	13170	7950	5490
"320"	12390	31430	18810	15240	2860
"321"	7660	26490	22860	17900	6550
"322"	9520	26320	20180	15140	4690
"323"	7830	9300	24130	15540	2890
"324"	5890	7200	16270	13670	1550
"325"	4630	8740	18220	5430	1690
"326"	9430	7370	15560	18490	1610
"327"	9840	22750	5910	13860	3090
"328"	11630	24270	6160	13740	1550
"329"	6530	18770	5820	17660	5740
"330"	8010	34580	5910	15530	2310
"331"	3490	44840	5380	14110	4290
"332"	2310	3090	5910	3700	1570
"333"	9140	34120	5910	9090	3180
"334"	1550	17050	5910	5110	1550
"335"	8570	14820	7510	12370	1550
"336"	9340	25550	7110	4160	1550
"337"	10760	11420	5510	17490	1620
"338"	8460	7370	5830	4620	2210
"339"	6440	49000	5910	12360	2300
"340"	1500	7170	17960	4770	2890
"341"	12790	15320	21070	13710	3540
"342"	5840	34610	5910	20590	2690
"343"	7930	19850	5760	13490	3290
"344"	2020	3200	14550	12680	3070
"345"	7350	38970	7120	4130	2980
"346"	8030	13880	5760	11750	3140
"347"	8850	34570	23360	4640	4750
"348"	2790	7900	14360	3840	4840
"349"	4030	18890	23320	15140	2440
"350"	7890	4420	24960	18050	5550
"351"	4140	47230	5990	12760	3140
"352"	8320	9370	17440	4650	1940
"353"	8950	27740	17450	13220	2360
"354"	9610	23710	5910	12910	3140
"355"	7980	42350	18420	10850	3140
"356"	5660	8170	8390	13270	4290
"357"	3490	18950	18160	4240	3140
"358"	8870	18600	13320	17100	2890
"359"	12450	10420	3290	5990	3690
"360"	7720	24450	2890	15860	11730
"361"	8970	6130	21360	14660	2130
"362"	3230	16860	17110	14630	3140
"363"	9460	17110	5910	11570	1590
"364"	8040	25710	19500	13330	2760
"365"	2040	5680	7550	15220	7830
"366"	12600	29360	25820	7830	1550
"367"	2430	7740	18690	13420	1550
"368"	4240	3490	18020	13270	3140
"369"	11590	13400	23820	14650	1830
"370"	6490	21880	5170	5010	1770
"371"	9330	40500	9960	15310	5540
"372"	2590	6620	8950	6590	4960
"373"	4720	26110	5310	7980	4830
"374"	12090	8030	5910	3940	4380
"375"	4240	25890	5340	7170	5550
"376"	6910	8630	5910	13360	5490
"377"	2140	21970	7510	4710	5330
"378"	8110	21710	20690	16950	3140
